DATE,IRRADIANCE
2010-04-30,-1.0
2010-05-01,-1.0
2010-05-02,-1.0
2010-05-03,-1.0
2010-05-04,-1.0
2010-05-05,-1.0
2010-05-06,-1.0
2010-05-07,-1.0
2010-05-08,-1.0
2010-05-09,-1.0
2010-05-10,-1.0
2010-05-11,-1.0
2010-05-12,-1.0
2010-05-13,-1.0
2010-05-14,-1.0
2010-05-15,-1.0
2010-05-16,-1.0
2010-05-17,-1.0
2010-05-18,-1.0
2010-05-19,-1.0
2010-05-20,-1.0
2010-05-21,-1.0
2010-05-22,-1.0
2010-05-23,-1.0
2010-05-24,-1.0
2010-05-25,-1.0
2010-05-26,-1.0
2010-05-27,-1.0
2010-05-28,-1.0
2010-05-29,-1.0
2010-05-30,-1.0
2010-05-31,-1.0
2010-06-01,-1.0
2010-06-02,-1.0
2010-06-03,-1.0
2010-06-04,-1.0
2010-06-05,-1.0
2010-06-06,-1.0
2010-06-07,-1.0
2010-06-08,-1.0
2010-06-09,-1.0
2010-06-10,-1.0
2010-06-11,-1.0
2010-06-12,-1.0
2010-06-13,-1.0
2010-06-14,-1.0
2010-06-15,-1.0
2010-06-16,-1.0
2010-06-17,-1.0
2010-06-18,-1.0
2010-06-19,-1.0
2010-06-20,-1.0
2010-06-21,-1.0
2010-06-22,-1.0
2010-06-23,-1.0
2010-06-24,-1.0
2010-06-25,-1.0
2010-06-26,-1.0
2010-06-27,-1.0
2010-06-28,-1.0
2010-06-29,-1.0
2010-06-30,-1.0
2010-07-01,-1.0
2010-07-02,-1.0
2010-07-03,-1.0
2010-07-04,-1.0
2010-07-05,-1.0
2010-07-06,-1.0
2010-07-07,-1.0
2010-07-08,-1.0
2010-07-09,-1.0
2010-07-10,-1.0
2010-07-11,-1.0
2010-07-12,-1.0
2010-07-13,-1.0
2010-07-14,-1.0
2010-07-15,-1.0
2010-07-16,-1.0
2010-07-17,-1.0
2010-07-18,-1.0
2010-07-19,-1.0
2010-07-20,-1.0
2010-07-21,-1.0
2010-07-22,-1.0
2010-07-23,-1.0
2010-07-24,-1.0
2010-07-25,-1.0
2010-07-26,-1.0
2010-07-27,-1.0
2010-07-28,-1.0
2010-07-29,-1.0
2010-07-30,-1.0
2010-07-31,-1.0
2010-08-01,-1.0
2010-08-02,-1.0
2010-08-03,-1.0
2010-08-04,-1.0
2010-08-05,-1.0
2010-08-06,-1.0
2010-08-07,-1.0
2010-08-08,-1.0
2010-08-09,-1.0
2010-08-10,-1.0
2010-08-11,-1.0
2010-08-12,-1.0
2010-08-13,-1.0
2010-08-14,-1.0
2010-08-15,-1.0
2010-08-16,-1.0
2010-08-17,-1.0
2010-08-18,-1.0
2010-08-19,-1.0
2010-08-20,-1.0
